name,Source,Cite
GS2014-H,Google Scholar,"Holbrook, Luke T. ""On the skull of Radinskya (Mammalia) and its phylogenetic position."" Journal of Vertebrate Paleontology 34.5 (2014): 1203-1215."
GS2014-KH,Google Scholar,"Krause, David W., et al. ""First cranial remains of a gondwanatherian mammal reveal remarkable mosaicism."" Nature 515.7528 (2014): 512-517."
GS2014-ML,Google Scholar,"Machado, Leonardo F., et al. ""Phylogeny and biogeography of tetralophodont rodents of the tribe Oryzomyini (Cricetidae: Sigmodontinae)."" Zoologica Scripta 43.2 (2014): 119-130."
GS2014-OL,Google Scholar,"Orliac, Maeva J., et al. ""Endocranial morphology of Palaeocene Plesiadapis tricuspidens and evolution of the early primate brain."" Proceedings of the Royal Society B: Biological Sciences 281.1781 (2014): 20132792."
GS2014-OT,Google Scholar,"OÕMeara, Rachel N., and Richard S. Thompson. ""Were There Miocene Meridiolestidans? Assessing the Phylogenetic Placement of Necrolestes patagonensis and the Presence of a 40 Million Year Meridiolestidan Ghost Lineage."" Journal of Mammalian Evolution (2013): 1-14."
GS2014-PT,Google Scholar,"Pattinson, David J., et al. ""Phylogeny, paleontology, and primates: do incomplete fossils bias the tree of life?."" Systematic biology (2014): syu077."
GS2014-RG,Google Scholar,"Reguero, Marcelo A., et al. ""Final Gondwana breakup: The Paleogene South American native ungulates and the demise of the South America_Antarctica land connection.""ÊGlobal and Planetary ChangeÊ(2014)."
GS2014-RH,Google Scholar,"Rook, Deborah L., and John P. Hunter. ""Rooting Around the Eutherian Family Tree: the Origin and Relations of the Taeniodonta."" Journal of Mammalian Evolution 21.1 (2014): 75-91."
GS2014-RR,Google Scholar,"Robinet, C_line, et al. ""A new genus of Lophiodontidae (Perissodactyla, Mammalia) from the early Eocene of La Borie (Southern France) and the origin of the genus< i> Lophiodon</i> Cuvier, 1822."" Geobios (2014)."
GS2014-SG,Google Scholar,"Spassov, Nikolai, and Denis Geraads. ""A New Felid from the Late Miocene of the Balkans and the Contents of the Genus Metailurus Zdansky, 1924 (Carnivora, Felidae).""ÊJournal of Mammalian EvolutionÊ(2014): 1-12."
GS2014-TA,Google Scholar,"Travouillon, Kenny J., et al. ""Sexually dimorphic bandicoots (Marsupialia: Peramelemorphia) from the Oligo-Miocene of Australia, first cranial ontogeny for fossil bandicoots and new species descriptions.""ÊJournal of Mammalian EvolutionÊ(2014): 1-27."
GS2014-TF,Google Scholar,"Tanaka, Yoshihiro, and R. Ewan Fordyce. ""Fossil Dolphin Otekaikea marplesi (Latest Oligocene, New Zealand) Expands the Morphological and Taxonomic Diversity of Oligocene Cetaceans."" PloS one 9.9 (2014): e107972."
GS2014-TH,Google Scholar,"Travouillon, K. J., et al. ""Earliest modern bandicoot and bilby (Marsupialia, Peramelidae and Thylacomyidae) from the Miocene of the Riversleigh World Heritage Area, northwestern Queensland, Australia."" Journal of Vertebrate Paleontology 34.2 (2014): 375-382."
GS2014-VJD,Google Scholar,"V_lez-Juarbe, Jorge, and Daryl P. Domning. ""Fossil Sirenia of the West Atlantic and Caribbean region. Ix. Metaxytherium albifontanum, sp. nov."" Journal of Vertebrate Paleontology 34.2 (2014): 444-464."
GS2014-WCC,Google Scholar,"Wang, Xiaoming, îscar Carranza-Casta–eda, and Jos_ Jorge Aranda-G—mez. ""A transitional skunk, Buisnictis metabatos sp. nov.(Mephitidae, Carnivora), from Baja California Sur and the role of southern refugia in skunk evolution."" Journal of Systematic Palaeontology 12.3 (2014): 291-302."
MB1005,morphobank,"Xiaoting Zheng, Shundong Bi, Xiaoli Wang, Jin Meng. 2013. A new arboreal haramiyid shows the diversity of crown mammals in the Jurassic period. Nature. 500 (7461):199-202."
MB1045,morphobank,"Williamson, T.E. and S.L. Brusatte. 2013. New Specimens of the Rare Taeniodont Wortmania (Mammalia: Eutheria) from the San Juan Basin of New Mexico and Comments on the Phylogeny and Functional Morphology of ÒArchaicÓ Mammals. PLOS ONE. 8 (9)."
MB1057,morphobank,"Salesa, M.J., M. Ant—n, G. Siliceo, M.D. Pesquero, J. Morales, L. Alcal‡. 2013. A non-aquatic otter (Mammalia, Carnivora, Mustelidae) from the Late Miocene (Vallesian, MN 10) of La Roma 2 (Alfambra, Teruel, Spain): systematics and functional anatomy. Zoological Journal of the Linnean Society. 169 (2):448_482."
MB108,morphobank,"O'Leary, M. A., and J. Gatesy. 2007. Impact of increased character sampling on the phylogeny of Cetartiodactyla (Mammalia): combined analysis including fossils. Cladistics. 24 (4):397-442."
MB1088,morphobank,"Gansuyaena megalotis, gen. et. sp. nov. (Mammalia, Carnivora, Hyaenidae, Protelinae) from Neogene deposits of Eurasia, and a phylogeny of the Aardwolf and basal hyaenids. Journal of Vertebrate Paleontology."
MB1102,morphobank,"Billet, G. and C. De Muizon. 2013. External and Internal Anatomy of a Petrosal from the Late Paleocene of Itabora’, Brazil, Referred to Notoungulata (Placentalia). Journal of Vertebrate Paleontology. 33 (2):455-469."
MB1115,morphobank,"Travouillon, K.J., Y. Gurovich, M. Archer, S.J. Hand, J. Muirhead. 2013. The Genus Galadi: Three New Bandicoots (Marsupialia, Peramelemorphia) from Riversleigh's Miocene Deposits, Northwestern Queensland, Australia. Journal of Vertebrate Paleontology. 33 (1):153-168."
MB1119,morphobank,"Averianov, A., and J.D. Archibald. 2013. Variation and taxonomy of Asiamerican eutherian mammal Paranyctoides. Canadian Journal of Earth Sciences. 50 (9):895-903."
MB1120,morphobank,"Averianov, A., J.D. Archibald, and G.J. Dyke. A new eutherian mammal from the Late Cretaceous of Kazakhstan (In Press). Acta Palaeontologica Polonica."
MB1144,morphobank,"Rankin, B. D., and P. A. Holroyd. 2014. Aceroryctes dulcis, a new palaeoryctid from the early Eocene of the Wasatch Formation of southwestern Wyoming. Canadian Journal of Earth Sciences. 51:919_926."
MB1151,morphobank,"Suraprasit, K., Y. Chaimanee, H. Bocherens, O. Chavasseau, J. Jaeger. 2014. Systematics and Phylogeny of Middle Miocene Cervidae (Mammalia) from Mae Moh Basin (Thailand) and a Paleoenvironmental Estimate Using Enamel Isotopy of Sympatric Herbivore Species. Journal of Vertebrate Paleontology. 34 (1):179-194."
MB1153 / GS2014-GA,morphobank,"Gheerbrant, E., M. Amaghzaz, B. Bouya, F. Goussard, C. Letenneur. 2014. Ocepeia (Middle Paleocene of Morocco): The Oldest Skull of an Afrotherian Mammal. PLoS ONE."
MB1197,morphobank,"Garbino, G.S.T. 2015. How many marmoset (Primates: Cebidae: Callitrichinae) genera are there? A phylogenetic analysis based on multiple morphological systems. Cladistics."
MB1207,morphobank,"Rose, K.D., L.T. Holbrook, R.S. Rana, K. Kumar, K.E. Jones, H.E. Ahrens, P. Missiaen, A. Sahni, and T. Smith. 2014. Early Eocene fossils suggest that the mammalian order Perissodactyla originated in India. Nature Communications.:1-9."
MB1269,morphobank,"Shundong Bi, Yuanqing Wang, Jian Guan, Xia Sheng, and Jin Meng. 2014. Three new Jurassic euharamiyidan species reinforce early divergence of mammals. Nature. (Nature 13718)."
MB157,morphobank,"Wible, J. R., G. W. Rougier, M. J. Novacek, and R. J. Asher. 2007. Cretaceous eutherians and Laurasian origin for placental mammals near the K/T boundary. Nature. 447:1003-1006."
MB161,morphobank,"Bloch, J. I., M. T. Silcox, D. M. Boyer, and E. J. Sargis. 2007. New Paleocene skeletons and the relationship of plesiadapiforms to crown-clade primates. Proceedings of the National Academy of Sciences. 104 (4):1159-1164."
MB171,morphobank,"Asher, R. J., Meng, J., Wible, J. R., McKenna, M. C., Rougier, G. W., Dashzeveg, D., Novacek, M. J. 2005. Stem Lagomorpha and the Antiquity of Glires. Science. 307 (5712):1091-1094."
MB181,morphobank,"Churchill, M., A. Berta, and T. Dem_r_. 2011. Systematics of Right Whales (Mysticeti: Balaenidae). Marine Mammal Science. Early View (July 15, 2011)."
MB182,morphobank,"Demere, T. A., M. R. McGowen, A. Berta, and J. G. Gatesy. 2008. Morphological and molecular evidence for a stepwise transition from teeth to baleen in mysticete whales. Systematic Biology. 57 (1):15-37."
MB194,morphobank,"Messenger, S. L., J. A. McGuire. 1998. Morphology, molecules, and the phylogenetics of cetaceans. Systematic Biology. 47 (90-124):90-124."
MB200,morphobank,"O'Leary, M. A., Geisler, J. H. 1998. The Position of Cetacea Within Mammalia: Phylogenetic Analysis of Morphological Data from Extinct and Extant Taxa. Systematic Biology. 48 (3):455-490."
MB2144,morphobank,"Thomas E. Williamson, Stephen L. Brusatte, Gregory P. Wilson. 2014. The origin and early evolution of metatherian mammals: the Cretaceous record. ZooKeys. 465:1-76."
MB216,morphobank,"Voss, R. S., and S. A. Jansa. 2009. Phylogenetic Relationships and Classification of Didelphid Marsupials, an Extant Radiation of New World Metatherian Mammals. Bulletin of the American Museum of Natural History. 322:1-177."
MB246,morphobank,"Gunnell, G. F., and N. B. Simmons. 2005. Fossil Evidence and the Origin of Bats. Journal of Mammalian Evolution. 12 (1/2):209-246."
MB264,morphobank,"Wetterer, A. L., M. V. Rockman, and N. B. Simmons. 2000. Phylogeny of phyllostomid bats (Mammalia: Chiroptera): data from diverse morphological systems, sex chromosomes, and restriction sites. Bulletin of the American Museum of Natural History. 248:1-200."
MB265,morphobank,"Simmons, N. B., and J. H.Geisler. 1998. Phylogenetic relationships of Icaronycteris, Archaeonycteris, Hassianycteris, and Palaeochiropteryx to extant bat lineages, with comments on the evolution of echolocation and foraging strategies in Microchiroptera. Bulletin of the American Museum of Natural History. 235:1-182."
MB266,morphobank,"Simmons, N. B., and T. M. Conway. 2001. Phylogenetic relationships of mormoopid bats (Chiroptera: Mormoopidae) based on morphological data. Bulletin of the American Museum of Natural History. 258:1-97."
MB291,morphobank,"Gaudin, T. J., R. J. Emry, and J. R. Wible. 2009. The phylogeny of living and extinct pangolins (Mammalia, Pholidota) and associated taxa: a morphology based analysis. Journal of Mammalian Evolution. 16 (4):235-305."
MB299,morphobank,"Asher, R. J., S. Maree, G. Bronner, N. C. Bennett, P. Bloomer, P. Czechowski, M. Meyer, M. Hofreiter. 2010. A phylogenetic estimate for golden moles (Mammalia, Afrotheria, Chrysochloridae). BMC Evolutionary Biology. 10 (69):1-13."
MB316,Google Scholar,"Archibald, J. David, et al. ""Protungulatum, confirmed Cretaceous occurrence of an otherwise Paleocene eutherian (placental?) mammal."" Journal of Mammalian Evolution 18.3 (2011): 153-161."
MB316,morphobank,"Wible, J. R., G. W. Rougier, M. J. Novacek, and R. J. Asher. 2009. The eutherian mammal Maelestes gobiensis from the Late Cretaceous of Mongolia and the phylogeny of Cretaceous Eutheria. Bulletin of the American Museum of Natural History. (327):1-123."
MB321,morphobank,"Spaulding, M., M. A. O'Leary, J. Gatesy. 2009. Relationships of Cetacea (Artiodactyla) Among Mammals: Increased Taxon Sampling Alters Interpretations of Key Fossils and Character Evolution. PLOS One. 4 (9):1-14."
MB352,morphobank,"B_rmann, E.V. Towards a comprehensive phylogeny of Bovidae, Chapter 2: A total evidence analysis of bovid phylogeny - Dissertation by Eva B_rmann, University of Cambridge UK"
MB367,morphobank,"Spaulding, M and Flynn, J. J. 2012. Phylogeny of the Carnivoramorpha: The impact of postcranial characters. Journal of Systematic Palaeontology. 10 (4):653-677."
MB374,morphobank,"Marx, F. G. 2010. The more the merrier? A large cladistic analysis of mysticetes, and comments on the transition from teeth to baleen. Journal of Mammalian Evolution. 18 (2):77-100."
MB383,morphobank,"Orliac, M., J.-R. Boisserie, L. MacLatchy, and F. Lihoreau. 2010. Early Miocene hippopotamids (Cetartiodactyla) constrain the phylogenetic and spatiotemporal settings of hippopotamid origin. PNAS. 107 (26):11871-11876."
MB417,morphobank,"Lehmann, T. 2009. Phylogeny and systematics of the Orycteropodidae (Mammalia, Tubulidentata). Zoological Journal of the Linnean Society. 155 (3):649_702."
MB419,morphobank,"Prevosti, F. J. 2010. Phylogeny of the large extinct South American Canids (Mammalia, Carnivora, Canidae) using a ÔÔtotal evidenceÕÕ approach. Cladistics. 26 (5):456-481."
MB431,morphobank,"Billet, G. 2010. New Observations on the Skull of Pyrotherium (Pyrotheria, Mammalia) and New Phylogenetic Hypotheses on South American Ungulates. Journal of Mammalian Evolution. 17 (1):21-59."
MB443,morphobank,"Seiffert, E. R. 2010. The oldest and youngest records of afrosoricid placentals from the Fayum Depression of northern Egypt. Acta Palaeontologica Polonica. 55 (4):599_616."
MB458,morphobank,"Geisler, J. H., McGowen, M. R., Yang, G., and J. Gatesy. 2011. A supermatrix analysis of genomic, morphological, and paleontological data from crown Cetacea. BMC Evolutionary Biology. 11 (112):1-33."
MB466,morphobank,"Gilbert, C. C., S. R. Frost, and D. S. Strait. 2009. Allometry, sexual dimorphism, and phylogeny: A cladistic analysis of extant African papionins using craniodental data. Journal of Human Evolution. 57 (3):298-320."
MB470,morphobank,"Ekdale, E. G., A. Berta, and T. A. Dem_r_. 2011. The Comparative Osteology of the Petrotympanic Complex (Ear Region) of Extant Baleen Whales (Cetacea: Mysticeti). PLoS ONE. 6 (6):e21311."
MB48,morphobank,"M., O'Leary, M. A., and Gatesy, J. 2009. Relationships of Cetacea (Artiodactyla) Among Mammals: Increased Taxon Sampling Alters Interpretations of Key Fossils and Character Evolution. PLOS One. 9 (4):1-14."
MB496,morphobank,"Williamson, T. E., A. Weil, and B. Standhardt. 2011. Cimolestids (Mammalia) from the Early Paleocene (Puercan) of New Mexico. Journal of Vertebrate Paleontology. 31 (1):162-180."
MB522,morphobank,"Meng, J., Y. Wang, and C. Li. 2011. Transitional mammalian middle ear from a new Cretaceous Jehol eutriconodont. Nature. 472 (7342):181_185."
MB526,morphobank,"Sallam, H. M., E. R. Seiffert, E. L. Simons, and C. Brindley. 2010. A Large-Bodied Anomaluroid Rodent from the Earliest Late Eocene of Egypt: Phylogenetic and Biogeographic Implications. Journal of Vertebrate Paleontology. 30 (5):1579-1593."
MB528,morphobank,"Spaulding, M, J. J. Flynn, R. K. Stucky. 2010. A New Basal Carnivoramorphan (Mammalia) from the ÔBridger BÕ (Black's Fork Member, Bridger Formation, Bridgerian Nalma, Middle Eocene) of Wyoming, USA. Palaeontology. 53 (4):815-832."
MB529,morphobank,"Churchill, M., Boessenecker, R.W., and Clementz, M.T. 2014. (Carnivora: Otariidae) revealed by combined evidence phylogenetic and Bayesian biogeographic analysis. Zoological Journal of the Linnean Society. Early View online."
MB530,morphobank,"Boessenecker, R.W., and M. Churchill. 2013. A Reevaluation of the Morphology, Paleoecology, and Phylogenetic Relationships of the Enigmatic Walrus Pelagiarctos. PLOS One. 8 (1):e54311."
MB539,morphobank,"Travouillon, K. J., Y. Gurovich, R. M. D. Beck, and J. Muirhead. 2010. An Exceptionally Well-Preserved Short-Snouted Bandicoot (Marsupialia; Peramelemorphia) from Riversleigh's Oligo-Miocene Deposits, Northwestern Queensland, Australia. Journal of Vertebrate Paleontology. 30 (5):1528-1546."
MB556,morphobank,"Voss, R.S., and M. Weksler. 2009. On the Taxonomic Status of Oryzomys curasoae McFarlane and Debrot, 2001, (Rodentia: Cricetidae: Sigmodontinae) with Remarks on the Phylogenetic Relationships of O. gorgasi Hershkovitz, 1971. Caribbean Journal of Sciences. 45 (1):73-79."
MB567,morphobank,"Kondrashov, P. E., and S. G. Lucas. 2012. Nearly Complete Skeleton of Tetraclaenodon (Mammalia, Phenacodontidae) from the Early Paleocene of New Mexico: Morpho-Functional Analysis. Journal of Paleontology. 86 (1):25-43."
MB571,morphobank,"Holbrook, L. T., and J. Lapergola. 2011. A New Genus of Perissodactyl (Mammalia) from the Bridgerian of Wyoming, with Comments on Basal Perissodactyl Phylogeny. Journal of Vertebrate Paleontology. 31 (4):895-901."
MB599,morphobank,"Velazco P.M. 2005. Morphological Phylogeny of the Bat Genus Platyrrhinus Saussure, 1860 (Chiroptera: Phyllostomidae) with the Description of Four New Species. Fieldiana, Zoology. 105:1-53."
MB630,morphobank,"Garc’a-L—pez, D. A., and J. E. Powell. 2011. Griphotherion peiranoi, gen. et sp. nov., A New Eocene Notoungulata (Mammalia, Meridiungulata) from Northwestern Argentina. Journal of Vertebrate Paleontology. 31 (5):1117-1130."
MB657,morphobank,"Weksler, M. 2006. Phylogenetic relationships of oryzomine rodents (Muroidea, Sigmodontinae) : separate and combined analyses of morphological and molecular data. Bulletin of the American Museum of Natural History. 296:1-149."
MB668,morphobank,"Bianucci, G. and P. D. Gingerich. 2011. Aegyptocetus tarfa, n. gen. et sp. (Mammalia, Cetacea), from the Middle Eocene of Egypt: Clinorhynchy, Olfaction, and Hearing in a Protocetid Whale. Journal of Vertebrate Paleontology. 31 (6):1173-1188."
MB675,morphobank,"Zack, S. P., T. A. Penkrot, J. I. Bloch, and K. D. Rose. 2005. Affinities of 'hyopsodontids' to elephant shrews and a Holarctic origin of Afrotheria. Nature. 434 (7032):497-501."
MB676,morphobank,"Zack, S. P., T. A. Penkrot, D. W. Krause, and M. C. Maas. 2005. A new apheliscine ""condylarth"" mammal from the late Paleocene of Montana and Alberta and the phylogeny of hyopsodontids. Acta Palaeontologica Polonica. 50 (4):809-830."
MB681,morphobank,"Christiansen, Per. 2012. Phylogeny of the sabertoothed felids (Carnivora: Felidae: Machairodontinae). Cladistics. 29 (5):543-559."
MB683,morphobank,"Black, K. H., M. Archer, and S. J. Hand. 2012. New Tertiary Koala (Marsupialia, Phascolarctidae) from Riversleigh, Australia, with a Revision of Phascolarctid Phylogenetics, Paleoecology, and Paleobiodiversity. Journal of Vertebrate Paleontology. 32 (1):125-138."
MB684,morphobank,"Ni, X., Y. Wang, Y. Hu, and C. Li. 2004. A euprimate skull from the early Eocene of China. Nature. 427 (6969):65-68."
MB691,morphobank,"Luo, Z.-X., C.-X. Yuan, Q.-J. Meng, and Q. Ji. 2011. A Jurassic eutherian mammal and divergence of marsupials and placentals. Nature. 476 (7361):442-445."
MB692,morphobank,"Luo, Z.-X., C.-X. Yuan, Q.-J. Meng, and Q. Ji. 2011. A Jurassic eutherian mammal and divergence of marsupials and placentals. Nature. 476 (7361):442_445."
MB694,morphobank,"Gaudin T.J. 2004. Phylogenetic relationships among sloths (Mammalia, Xenarthra, Tardigrada): the craniodental evidence. Zoological Journal of the Linnean Society. 140:255_305."
MB696,morphobank,"Macrini, T. E. 2012. Comparative morphology of the internal nasal skeleton of adult marsupials based on X-ray computed tomography. Bulletin of the American Museum of Natural History. 365:1-91."
MB697,morphobank,"Seiffert, E. R., S. Nasir, A. Al-Harthy, J. R. Groenke, B. P. Kraatz, N. J. Stevens, and A. R. Al-Sayigh. 2012. Diversity in the later Paleogene proboscidean radiation: a small barytheriid from the Oligocene of Dhofar Governorate, Sultanate of Oman. Naturwissenschaften. 99 (2):133-141."
MB705,morphobank,"Diogo, R., B. Wood. 2011. Soft-tissue anatomy of the primates: phylogenetic analyses based on the muscles of the head, neck, pectoral region and upper limb, with notes on the evolution of these muscles. Journal of Anatomy. 219 (3):273_359."
MB728,morphobank,"Pine, R.H., R.M. Timm, and M. Weksler. 2012. A newly recognized clade of Trans-Andean Oryzomyini (Rodentia: Cricetidae), with description of a new genus. Journal of Mammalogy. 93 (3):851-870."
MB739,morphobank,"Beck, R. M. D. 2012. An ÔameridelphianÕ marsupial from the early Eocene of Australia supports a complex model of Southern Hemisphere marsupial biogeography. Naturwissenschaften. 99 (9):715-729."
MB750,morphobank,"Silcox, M. T., J. I. Bloch, D. M. Boyer, and P. Houde. 2010. Cranial anatomy of Paleocene and Eocene Labidolemur kayi (Mammalia: Apatotheria), and the relationships of the Apatemyidae to other mammals. Zoological Journal of the Linnean Society. 160 (4):773-825."
MB758,morphobank,"Gurovich, Y., Travouillon, K. J., Beck, R. M. D., Muirhead, J., Archer, M. 2013. Biogeographical implications of a new mouse-sized fossil bandicoot (Marsupialia: Peramelemorphia) occupying a dasyurid-like ecological niche across Australia. Journal of Systematic Palaeontology."
MB773,morphobank,"O'Leary, M.A., J.I. Bloch, J.J. Flynn, T.J. Gaudin, A. Giallombardo, N.P. Giannini, S.L. Goldberg, B.P. Kraatz, Z. Luo, J. Meng, X. Ni, M.J. Novacek, F.A. Perini, Z.S. Randall, G.W. Rougier, E.J. Sargis, M.T. Silcox, N.B. Simmons, M. Spaulding, P.M. Velazco, M. Weksler, J.R. Wible, A.L. Cirranello. 2013. The Placental Mammal Ancestor and the Post K-Pg Radiation of Placentals. Science. 339:662-667."
MB779,morphobank,"Sallam, H. M., E. R. Seiffert, and E. L. Simons. 2011. Craniodental Morphology and Systematics of a New Family of Hystricognathous Rodents (Gaudeamuridae) from the Late Eocene and Early Oligocene of Egypt. PLoS ONE. 6 (2):e16525."
MB825,morphobank,"Sigurdsen, T., A.K. Huttenlocker, S.P. Modesto, T.B, Rowe, R. Damiani. 2012. Reassessment of the morphology and paleobiology of the therocephalian Tetracynodon darti (Therapsida) and the phylogenetic relationships of Baurioidea. Journal of Vertebrate Paleontology. 32 (5):1113-1114."
MB833,morphobank,"Ekdale, E. G. 2013. Comparative Anatomy of the Bony Labyrinth (Inner Ear) of Placental Mammals. PLoS ONE. 8 (6):e66624."
MB849,morphobank,"Holbrook, Luke T. 1999. The Phylogeny and Classification of Tapiromorph Perissodactyls (Mammalia). Cladistics. 15 (3):331-350."
MB876,morphobank,"Averianov, A.O., T. Martin, A.V. Lopatin. 2013. A new phylogeny for basal Trechnotheria and Cladotheria and affinities of South American endemic Late Cretaceous mammals. Naturwissenschaften. 100 (4):311-326"
MB888,Google Scholar,"Geisler, J.H., M. W. Colbert, and J. L. Carew,. 2014. A New Fossil Species Supports an Early Origin for Toothed Whale Echolocation. Nature."
MB891,morphobank,"D‡valos, L. M., P. M. Velazco, O. M. Warsi, P. D. Smits, and N. B. Simmons. 2014. Integrating Incomplete Fossils by Isolating Conflicting Signal in Saturated and Non-Independent Morphological Characters. Systematic Biology."
MB929,morphobank,"Beck, R.M.D., Travouillon, K.J., Aplin, K.P., Godthelp, H., Archer, M. The Osteology and Systematics of the Enigmatic Australian Oligo-Miocene Metatherian Yalkaparidon (Yalkaparidontidae; Yalkaparidontia; ?Australidelphia; Marsupialia). Journal of Mammalian Evolution."
MB933,morphobank,"Racicot, R. A., T. D. Demere, B. L. Beatty, and R. W. Boessenecker,. 2014. Unique feeding morphology in a new prognathous extinct porpoise from the Pliocene of California. Current Biology. 24 (7):774-779."
MB938,morphobank,"Prideaux, Gavin J.; Warburton, Natalie M. 2010. An osteology-based appraisal of the phylogeny and evolution of kangaroos and wallabies (Macropodidae: Marsupialia). Zoological Journal of the Linnean Society. 159 (4):954-987."
MB945,morphobank,"Gregorin, R., and A. Cirranello. 2015. PHYLOGENY OF MOLOSSIDAE GERVAIS (MAMMALIA: CHIROPTERA) INFERRED BY MORPHOLOGICAL DATA. Cladistics. 2015:1-34."
MB946,morphobank,"Orliac, M.J., M. A. O'Leary. 2014. Comparative anatomy of the petrosal bone of dichobunoids, early members of Artiodactylamorpha (Mammalia). Journal of Mammalian Evolution. 21 (1)."
MB970,morphobank,"Ni, X., D. L. Gebo, M. Dagosto, J. Meng, P. Tafforeau, J. J. Flynn and K. C. Beard. 2013. The oldest known primate skeleton and early haplorhine evolution. Nature. 498 (7452):60-64."
MM1989-E,Ross Mounce,"Evander, R. L. (1989) Phylogeny of the Equidae. In Prothero, D. R. and Schoch, R. M. (eds) The Evolution of Perissodactyls, pp. 109-127. New York: Oxford University Press."
MM1994-W,Ross Mounce,"Wang, X. 1994. Phylogenetic Systematics of the Hesperocyoninae (Carnivora: Canidae). Bulletin of the American Museum of Natural History 221:207."
MM1999-W,Ross Mounce,"Wang, 1999. Phylogenetic systematics of the borophaginae (Carnivora : Canidae), Bulletin of the American Museum of Natural History, 243:1-391."
MM2000-GC,Ross Mounce,"Gibbs, S., Collard, M. & Wood, B. Soft-tissue characters in higher primate phylogenetics. Proceedings of the National Academy of Sciences 97, 11130-11132 (2000). URL http://dx.doi.org/10.1073/pnas.190252697"
MM2001-KJ,Ross Mounce,"Kielan-Jaworowska, Z. and Hurum, J. H. 2001. Phylogeny and systematics of multituberculate mammals. Palaeontology 44:389-429."
MM2003-VJ,Ross Mounce,"Voss, R. S. and Jansa, S. A. 2003. Phylogenetic studies_on didelphid marsupials_ii. nonmolecular data and new irbp sequences Separate and combined analyses of didelphine relationships with denser taxon sampling. Bulletin of the American Museum of Natural History 2761-82."
MM2004-AS,Ross Mounce,"Anto–anzas, R. L., Sen, S., and Mein, P. 2004. Systematics and phylogeny of the cane rats (rodentia: Thryonomyidae). Zoological Journal of the Linnean Society 142:423-444."
MM2004-BS,Ross Mounce,"Bloch, J. I., Secord, R. and Gingerich, P. D. (2004) Systematics and Phylogeny of Late Paleocene and Early Eocene Palaeoryctinae (Mammalia, Insectivora) from the Clarks Fork and Bighorn Basins, Wyoming. Contributions from the Museum of Paleontology, University of Michigan, 31(5), 119-154."
MM2004-MA,Ross Mounce,"Martin, T. and Averianov, A. O. 2004. A new docodont (mammalia) from the middle jurassic of kyrgyzstan, central asia. Journal of Vertebrate Paleontology 24:195-201."
MM2004-TR,Ross Mounce,"Tsubamoto, T., Rougier, G. W., Isaji, S., Manabe, M., and Forasiepi, A. M. 2004 New Early Cretaceous spalacotheriid symmetrodont mammal from Japan. Acta Palaeontologica Polonica 49:329-346."
MM2005-E,Ross Mounce,"Naoko Egi et al, 2005. Proviverrine hyaenodontids (Creodonta: Mammalia) from the Eocene of Myanmar and a phylogenetic analysis of the proviverrines from the Para–Tethys area. Journal of Systematic Palaeontology 3 (4): 337–358"
MM2005-WM,Ross Mounce,"Wang, X., McKENNA, M. C. & Dashzeveg, D. Amphicticeps and amphicynodon (arctoidea, carnivora) from hsanda gol formation, central mongolia and phylogeny of basal arctoids with comments on zoogeography. American Museum Novitates 1-60 (2005)."
MM2006-BM,Ross Mounce,"Bouetel Muizon 2006 Geodiversitas 28 (2) 319-395 The anatomy and relationships of Piscobalaena nana (Cetacea, Mysticeti), a Cetotheriidae s.s. from the early Pliocene of Peru"
MM2006-MW,Ross Mounce,"Meng, J., Hu, Y., Wang, Y., Wang, X., and Li, C. 2006. A mesozoic gliding mammal from northeastern china. Nature 444:889-893."
MM2006-SS,Ross Mounce,"Salas, R., S‡nchez, J., and Chacaltana, C. 2006. A new pre-deseadan pyrothere (mammalia) from northern peru and the wear facets of molariform teeth of pyrotheria. Journal of Vertebrate Paleontology 26:760-769."
MM2007-KC,Ross Mounce,"Kear, B. P., Cooke, B. N., Archer, M., and Flannery, T. F. 2007. Implications of a new species of the oligo-miocene kangaroo (marsupialia: Macropodoidea) nambaroo, from the riversleigh world heritage area, queensland, australia. Journal of Paleontology 81:1147-1167."
MM2007-LC,Ross Mounce,"Luo, Z.-X., Chen, P., Li, G., and Chen, M. 2007. A new eutriconodont mammal and evolutionary development in early mammals. Nature 446:288-293."
MM2007-P,Ross Mounce,Pujos 2007
MM2007-R,Ross Mounce,"Rybczynski, N. 2007. Castorid phylogenetics: Implications for the evolution of swimming and Tree-Exploitation in beavers. Journal of Mammalian Evolution 14:1-35."
MM2007-RI,Ross Mounce,"Rougier, G. W., Isaji, S., and Manabe, M. 2007. An early cretaceous mammal from the kuwajima formation (tetori group), japan, and a reassessment of triconodont phylogeny. Annals of Carnegie Museum 76"
MM2007-WC,Ross Mounce,"Williamson, T. E. and Carr, T. D. 2007. Bomburia and ellipsodon (mammalia: Mioclaenidae) from the early paleocene of new mexico. Journal of Paleontology 81:966-985."
MM2008-B,Ross Mounce,"Bisconti, M. 2008. Morphology and phylogenetic relationships of a new eschrichtiid genus (cetacea: Mysticeti) from the early pliocene of northern italy. Zoological Journal of the Linnean Society 153:161-186."
MM2008-Dg,Ross Mounce,"Deng, T. 2008. A new elasmothere (perissodactyla, rhinocerotidae) from the late miocene of the linxia basin in gansu, china. Geobios 41:719-728."
